excel_row_key	platform_fact_key	excel_source_file	official_excel_billing_month	reconciliation_billing_month	imsi	excel_product_id	excel_product_name	charge_type	excel_cycle_start	excel_cycle_end	excel_final_start	excel_final_end	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_monthly_rent	platform_package_price	platform_time_zone	platform_iccid	platform_cycle_start	platform_cycle_end	platform_cycle_days	platform_calculated_days	platform_calculated_price	platform_calculated_amount	day_diff	price_diff	amount_diff	rule_id	platform_price_state	product_mapping_status	platform_candidate_count	platform_candidate_product_count	platform_candidate_window_count	activation_event_count	offstock_event_count	replacement_event_count	transfer_event_count	difference_reason	source_match_status	record_side
	2026-04|083901822072554675|60011373|2026-04-04|2026-05-04			2026-04	083901822072554675											60011373	ATT 300GB Plan EC (PI)	62.0000000000	62.0000000000	GMT-5	89012803332275368913	2026-04-04	2026-05-04	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901144065414235|60011612|2026-05-25|2026-06-25			2026-05	083901144065414235											60011612	ATT 300GB Plan SP (PI)	62.0000000000	62.0000000000	GMT-5	89014103334561413596	2026-05-25	2026-06-25	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880212657672|600111094|#|#			2026-05	083911880212657672											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901882024115667275f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901144026487812|600111133|2026-05-25|2026-06-25			2026-05	083901144026487812											600111133	ATT 300GB Plan DI SL (PI)	43.0000000000	43.0000000000	GMT-5	89014103334628229332	2026-05-25	2026-06-25	32.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901421048506836|600111094|#|#			2026-05	083901421048506836											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901240187140586633f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901144065317546|600111202|2026-05-25|2026-06-25			2026-05	083901144065317546											600111202	AT&T 300GB Plan SP RA (PI)	62.0000000000	62.0000000000	GMT-5	89014103334561426382	2026-05-25	2026-06-25	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880231622924|600111175|2026-05-19|2026-06-19			2026-05	083911880231622924											600111175	TMO Unlimited SMP (PI)	62.0000000000	62.0000000000	GMT-5	8901882014732692426f	2026-05-19	2026-06-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901421048507862|600111094|#|#			2026-05	083901421048507862											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901240187140587268f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901516061415457|600111152|2026-04-29|2026-05-29			2026-05	083901516061415457											600111152	ATT 200GB Plan ZN ET (PI)	43.0000000000	43.0000000000	GMT-5	89011503336161727335	2026-04-29	2026-05-29	31.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901624062428792|60011894|2026-05-30|2026-06-30			2026-05	083901624062428792											60011894	TMO 500GB EC (PI)	62.0000000000	62.0000000000	GMT-5	8901260428762478294f	2026-05-30	2026-06-30	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901622016089791|600111177|2026-04-01|2026-05-01			2026-04	083901622016089791											600111177	TMO 300GB Plan AT (1) (D) (PI)	62.0000000000	62.0000000000	GMT-5	8901260264718079195f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880231621978|600111175|2026-04-19|2026-05-19			2026-04	083911880231621978											600111175	TMO Unlimited SMP (PI)	62.0000000000	62.0000000000	GMT-5	8901882014732691873f	2026-04-19	2026-05-19	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144080198818|600111094|#|#			2026-04	083901144080198818											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	89014103274089188819					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901624070423809|60011888|2026-04-01|2026-05-01			2026-04	083901624070423809											60011888	TMO 300GB Plan AT (1) (C) (PI)	62.0000000000	62.0000000000	GMT-5	8901260408772483906f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901822041025783|60011373|2026-04-22|2026-05-22			2026-04	083901822041025783											60011373	ATT 300GB Plan EC (PI)	62.0000000000	62.0000000000	GMT-5	89012802332142162565	2026-04-22	2026-05-22	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901516081933904|600111152|2026-03-29|2026-04-29			2026-04	083901516081933904											600111152	ATT 200GB Plan ZN ET (PI)	43.0000000000	43.0000000000	GMT-5	89011503336184306711	2026-03-29	2026-04-29	32.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300071109395|600111094|#|#			2026-04	083901300071109395											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	89010303300170139597					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901624082327581|60011883|2026-04-12|2026-05-12			2026-04	083901624082327581											60011883	TMO 300GB Plan AT (2) (PI)	62.0000000000	62.0000000000	GMT-5	8901260428782357189f	2026-04-12	2026-05-12	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901622016972563|600111177|2026-04-01|2026-05-01			2026-04	083901622016972563											600111177	TMO 300GB Plan AT (1) (D) (PI)	62.0000000000	62.0000000000	GMT-5	8901260264717952368f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144095377510|60011500|2026-03-29|2026-04-29			2026-04	083901144095377510											60011500	ATT 300GB Plan DI MM (PI)		62.0000000000	GMT-5	89014103334597623465	2026-03-29	2026-04-29	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901144026380429|600111191|2026-05-05|2026-06-05			2026-05	083901144026380429											600111191	ATT 300GB Plan DI CF (PI)	62.0000000000	62.0000000000	GMT-5	89014103334628569695	2026-05-05	2026-06-05	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
